device_id,policy_name,rule_type,action,source_zone,destination_zone,application,service,description,status,source_file
nrr_oob_agg_fw001,oob_policy_2,security_rule,allow,oob,management,any,tcp/161,OOB SNMP management access,enabled,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_oob_agg_fw001,oob_policy_3,security_rule,deny,any,oob,any,any,Block access to OOB network,enabled,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_wan_agg_fw001,wan_policy_1,security_rule,allow,internal,external,any,tcp/80,WAN internal to external HTTP,enabled,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
nrr_wan_agg_fw001,wan_policy_2,security_rule,allow,internal,external,any,tcp/443,WAN internal to external HTTPS,enabled,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
nrr_wan_agg_fw001,wan_policy_3,security_rule,deny,external,internal,any,any,WAN block external to internal,enabled,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
nrr_wan_agg_fw001,wan_threat_prevention,threat_prevention,detect,any,any,any,any,WAN threat prevention profile,enabled,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
uat_pa_backup,uat_policy_1,security_rule,allow,internal,external,any,tcp/80,UAT internal to external HTTP,enabled,configs/UAT-PA-Backup
uat_pa_backup,uat_policy_2,security_rule,allow,internal,external,any,tcp/443,UAT internal to external HTTPS,enabled,configs/UAT-PA-Backup
uat_pa_backup,uat_policy_3,security_rule,deny,external,internal,any,any,UAT block external to internal,enabled,configs/UAT-PA-Backup
uat_pa_backup,uat_threat_prevention,threat_prevention,detect,any,any,any,any,UAT threat prevention profile,enabled,configs/UAT-PA-Backup
uat_pa_internet_backup,uat_inet_policy_1,security_rule,allow,internal,external,any,tcp/80,UAT Internet internal to external HTTP,enabled,configs/UAT-PA-Internet-Backup
uat_pa_internet_backup,uat_inet_policy_2,security_rule,allow,internal,external,any,tcp/443,UAT Internet internal to external HTTPS,enabled,configs/UAT-PA-Internet-Backup
uat_pa_internet_backup,uat_inet_policy_3,security_rule,deny,external,internal,any,any,UAT Internet block external to internal,enabled,configs/UAT-PA-Internet-Backup
uat_pa_internet_backup,uat_inet_threat_prevention,threat_prevention,detect,any,any,any,any,UAT Internet threat prevention profile,enabled,configs/UAT-PA-Internet-Backup 
