device_id,process_id,router_id,area,interface,area_type,network_type,hello_interval,dead_interval,priority,cost,authentication,passive_interface,redistribute,source_file
nrr_int_intbr_r002,1,10.99.1.43,0.0.0.1,GigabitEthernet1/1/0,nssa,broadcast,10,40,100,10,none,no,static,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,1,10.99.1.43,0.0.0.1,GigabitEthernet1/1/1,nssa,broadcast,10,40,100,10,none,no,rip,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r002,1,10.99.1.43,0.0.0.1,Port-channel12,nssa,broadcast,10,40,100,5,none,no,,configs/NRR-INT-INTBR-R002.alrajhi.bank-10.99.18.43-2025-05-15_11-06-51.log
nrr_int_intbr_r001,1,10.99.1.44,0.0.0.1,Loopback0,nssa,point-to-point,10,40,1,1,none,yes,connected,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,1,10.99.1.44,0.0.0.1,GigabitEthernet1/1/0,nssa,broadcast,10,40,100,10,none,no,static,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,1,10.99.1.44,0.0.0.1,GigabitEthernet1/1/1,nssa,broadcast,10,40,100,10,none,no,rip,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,1,10.99.1.44,0.0.0.1,Port-channel12,nssa,broadcast,10,40,100,5,none,no,,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_ext_extbr_r002,1,10.99.1.32,0.0.0.2,Loopback0,stub,point-to-point,10,40,1,1,none,yes,connected,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r002,1,10.99.1.32,0.0.0.2,GigabitEthernet1/1/0,stub,broadcast,10,40,100,10,none,no,static,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r002,1,10.99.1.32,0.0.0.2,GigabitEthernet1/1/1,stub,broadcast,10,40,100,10,none,no,eigrp,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r002,1,10.99.1.32,0.0.0.2,Port-channel53,stub,broadcast,10,40,100,5,none,no,,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r001,1,10.99.1.31,0.0.0.2,Loopback0,stub,point-to-point,10,40,1,1,none,yes,connected,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_ext_extbr_r001,1,10.99.1.31,0.0.0.2,GigabitEthernet1/1/0,stub,broadcast,10,40,100,10,none,no,static,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_ext_extbr_r001,1,10.99.1.31,0.0.0.2,GigabitEthernet1/1/1,stub,broadcast,10,40,100,10,none,no,eigrp,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_ext_extbr_r001,1,10.99.1.31,0.0.0.2,Port-channel53,stub,broadcast,10,40,100,5,none,no,,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_cor_c_sw002,WAN,10.99.18.254,0.0.0.0,Vlan1,backbone,broadcast,1,3,100,10,key-chain,no,connected,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,INT,10.99.18.254,0.0.0.1,Vlan10,nssa,broadcast,1,3,100,10,key-chain,no,static,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,WAN,10.99.18.254,0.0.0.0,GigabitEthernet1/0/1,backbone,broadcast,1,3,100,10,key-chain,no,,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,INT,10.99.18.254,0.0.0.1,GigabitEthernet1/0/2,nssa,broadcast,1,3,100,10,key-chain,no,,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_ext_sama_fw001,1,10.99.20.188,0.0.0.0,port1,backbone,broadcast,10,40,100,10,none,no,static,configs/NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
nrr_ext_sama_fw001,1,10.99.20.188,0.0.0.0,port2,backbone,broadcast,10,40,100,10,none,no,connected,configs/NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
nrr_ext_tad_fw001,1,10.99.22.188,0.0.0.0,port1,backbone,broadcast,10,40,100,10,none,no,static,configs/NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
nrr_ext_tad_fw001,1,10.99.22.188,0.0.0.0,port2,backbone,broadcast,10,40,100,10,none,no,connected,configs/NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
nrr_ext_ext_fw001,1,10.99.24.188,0.0.0.0,port1,backbone,broadcast,10,40,100,10,none,no,static,configs/NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
nrr_ext_ext_fw001,1,10.99.24.188,0.0.0.0,port2,backbone,broadcast,10,40,100,10,none,no,connected,configs/NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
nrr_int_agg_fw001_asa,1,10.99.26.188,0.0.0.1,port1,nssa,broadcast,10,40,100,10,none,no,static,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430-ASA-VDOM.conf
nrr_int_agg_fw001_asa,1,10.99.26.188,0.0.0.1,port2,nssa,broadcast,10,40,100,10,none,no,connected,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430-ASA-VDOM.conf
nrr_int_agg_fw001_pa,1,10.99.28.188,0.0.0.1,port1,nssa,broadcast,10,40,100,10,none,no,static,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_int_agg_fw001_pa,1,10.99.28.188,0.0.0.1,port2,nssa,broadcast,10,40,100,10,none,no,connected,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_oob_agg_fw001,1,10.99.30.188,0.0.0.3,port1,totally-stubby,broadcast,10,40,100,10,none,no,static,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_oob_agg_fw001,1,10.99.30.188,0.0.0.3,port2,totally-stubby,broadcast,10,40,100,10,none,no,connected,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_wan_agg_fw001,1,10.99.32.188,0.0.0.0,port1,backbone,broadcast,10,40,100,10,none,no,static,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
nrr_wan_agg_fw001,1,10.99.32.188,0.0.0.0,port2,backbone,broadcast,10,40,100,10,none,no,connected,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
uat_pa_backup,1,10.99.20.188,0.0.0.0,ethernet1/1,backbone,broadcast,10,40,100,10,none,no,static,configs/UAT-PA-Backup
uat_pa_backup,1,10.99.20.188,0.0.0.0,ethernet1/2,backbone,broadcast,10,40,100,10,none,no,connected,configs/UAT-PA-Backup
uat_pa_backup,1,10.99.20.188,0.0.0.0,ethernet1/3,backbone,broadcast,10,40,100,10,none,no,bgp,configs/UAT-PA-Backup
uat_pa_internet_backup,1,10.99.38.188,0.0.0.0,ethernet1/1,backbone,broadcast,10,40,100,10,none,no,static,configs/UAT-PA-Internet-Backup
uat_pa_internet_backup,1,10.99.38.188,0.0.0.0,ethernet1/2,backbone,broadcast,10,40,100,10,none,no,connected,configs/UAT-PA-Internet-Backup
uat_pa_internet_backup,1,10.99.38.188,0.0.0.0,ethernet1/3,backbone,broadcast,10,40,100,10,none,no,bgp,configs/UAT-PA-Internet-Backup 
