device_id,lb_method,pool_name,member_servers,health_check,algorithm,persistence,source_file
nrr_int_agg_fw001_asa,round-robin,asa_internal_pool,10.99.26.1;10.99.27.1,tcp_connect,round-robin,source_ip,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430-ASA-VDOM.conf
nrr_int_agg_fw001_asa,weighted,asa_application_pool,172.16.1.100-172.16.1.200,http_get,weighted_least_connections,cookie,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430-ASA-VDOM.conf
nrr_int_agg_fw001_pa,round-robin,pa_internal_pool,10.99.28.1;10.99.29.1,tcp_connect,round-robin,source_ip,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_int_agg_fw001_pa,weighted,pa_application_pool,172.17.1.100-172.17.1.200,http_get,weighted_least_connections,cookie,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_int_agg_fw001_pa,ip_hash,t24_pool,172.17.15.208;172.17.15.209,tcp_connect,ip_hash,none,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_int_agg_fw001_pa,least_connections,tsd_mf_pool,172.17.16.100-172.17.16.120,http_get,least_connections,session_id,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_int_agg_fw001_pa,weighted,pvtcloud_pool,172.17.24.96-172.17.24.127,ping,weighted_round_robin,source_ip,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_int_agg_fw001_pa,round-robin,takaful_vpn_pool,192.168.10.100-192.168.10.150,ssl_handshake,round-robin,ssl_session,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_int_agg_fw001_pa,least_connections,itpmo_ot_pool,172.18.1.100-172.18.1.120,tcp_connect,least_connections,source_ip,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_int_agg_fw001_pa,weighted,market_place_pool,172.19.1.100-172.19.1.150,http_get,weighted_least_connections,cookie,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_oob_agg_fw001,round-robin,oob_firewall_pool,10.99.30.1;10.99.31.1,tcp_connect,round-robin,source_ip,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_oob_agg_fw001,weighted,oob_management_pool,192.168.4.100-192.168.4.150,ping,weighted_round_robin,none,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_wan_agg_fw001,round-robin,wan_firewall_pool,10.99.32.1;10.99.33.1,tcp_connect,round-robin,source_ip,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
nrr_wan_agg_fw001,weighted,wan_ssl_vpn_pool,192.168.5.100-192.168.5.150,ssl_handshake,weighted_round_robin,ssl_session,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
nrr_wan_agg_fw001,ip_hash,ntp_pool,0.rhel.pool.ntp.org;1.rhel.pool.ntp.org;2.rhel.pool.ntp.org;3.rhel.pool.ntp.org,ntp_query,ip_hash,none,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
uat_pa_backup,round-robin,uat_backup_pool,10.99.34.1;10.99.35.1;10.99.36.1,tcp_connect,round-robin,source_ip,configs/UAT-PA-Backup
uat_pa_backup,weighted,uat_cluster_pool,192.0.2.1;192.0.2.2,ha_heartbeat,weighted_round_robin,cluster_session,configs/UAT-PA-Backup
uat_pa_internet_backup,round-robin,uat_internet_pool,10.99.38.1;10.99.39.1;10.99.40.1,tcp_connect,round-robin,source_ip,configs/UAT-PA-Internet-Backup
uat_pa_internet_backup,weighted,uat_internet_cluster_pool,192.0.2.5;192.0.2.6,ha_heartbeat,weighted_round_robin,cluster_session,configs/UAT-PA-Internet-Backup 
