device_id,vlan_id,vlan_name,description,state,mode,svi_ip,vrf_name,vrf_rd,active,source_file
nrr_int_intbr_r001,100,internal,Internal VLAN,active,trunk,10.99.100.44/24,global,,yes,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,200,data,Data VLAN,active,trunk,10.99.200.44/24,global,,yes,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_int_intbr_r001,10,management,Management VLAN,active,access,10.0.250.44/24,Mgmt-intf,,yes,configs/NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
nrr_ext_extbr_r002,1,default,Default VLAN,active,access,10.99.18.32/24,global,,yes,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r002,300,external,External VLAN,active,trunk,10.99.300.32/24,global,,yes,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r002,400,dmz,DMZ VLAN,active,trunk,10.99.400.32/24,global,,yes,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r002,10,management,Management VLAN,active,access,10.0.250.32/24,Mgmt-intf,,yes,configs/NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
nrr_ext_extbr_r001,1,default,Default VLAN,active,access,10.99.18.31/24,global,,yes,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_ext_extbr_r001,300,external,External VLAN,active,trunk,10.99.300.31/24,global,,yes,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_ext_extbr_r001,400,dmz,DMZ VLAN,active,trunk,10.99.400.31/24,global,,yes,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_ext_extbr_r001,10,management,Management VLAN,active,access,10.0.250.31/24,Mgmt-intf,,yes,configs/NRR-EXT-EXTBR-R001-10.99.18.31-2025-05-15_11-06-45.log
nrr_cor_c_sw002,1,default,Default VLAN,active,access,10.99.18.254/24,global,,yes,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,10,management,Management VLAN,active,access,10.0.250.254/24,management,,yes,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,20,voice,Voice VLAN,active,trunk,192.168.20.254/24,global,,yes,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,100,internal,Internal VLAN,active,trunk,10.99.100.254/24,global,,yes,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,200,data,Data VLAN,active,trunk,10.99.200.254/24,global,,yes,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,300,external,External VLAN,active,trunk,10.99.300.254/24,global,,yes,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,400,dmz,DMZ VLAN,active,trunk,10.99.400.254/24,global,,yes,configs/NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_ext_sama_fw001,,default,Default VRF,active,,10.99.20.188/24,default,,yes,configs/NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
nrr_ext_sama_fw001,,mgmt,Management VRF,active,,10.99.20.1/24,mgmt,,yes,configs/NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
nrr_ext_sama_fw001,,internal,Internal VRF,active,,10.99.21.188/24,internal,,yes,configs/NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
nrr_ext_sama_fw001,,dmz,DMZ VRF,active,,192.168.10.188/24,dmz,,yes,configs/NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
nrr_ext_tad_fw001,,default,Default VRF,active,,10.99.22.188/24,default,,yes,configs/NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
nrr_ext_tad_fw001,,mgmt,Management VRF,active,,10.99.22.1/24,mgmt,,yes,configs/NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
nrr_ext_tad_fw001,,internal,Internal VRF,active,,10.99.23.188/24,internal,,yes,configs/NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
nrr_ext_tad_fw001,,dmz,DMZ VRF,active,,192.168.20.188/24,dmz,,yes,configs/NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
nrr_ext_ext_fw001,,default,Default VRF,active,,10.99.24.188/24,default,,yes,configs/NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
nrr_ext_ext_fw001,,mgmt,Management VRF,active,,10.99.24.1/24,mgmt,,yes,configs/NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
nrr_ext_ext_fw001,,internal,Internal VRF,active,,10.99.25.188/24,internal,,yes,configs/NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
nrr_ext_ext_fw001,,dmz,DMZ VRF,active,,192.168.30.188/24,dmz,,yes,configs/NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
nrr_int_agg_fw001_asa,,default,Default VRF,active,,10.99.26.188/24,default,,yes,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430-ASA-VDOM.conf
nrr_int_agg_fw001_asa,,mgmt,Management VRF,active,,10.99.26.1/24,mgmt,,yes,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430-ASA-VDOM.conf
nrr_int_agg_fw001_asa,,internal,Internal VRF,active,,172.16.1.188/24,internal,,yes,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430-ASA-VDOM.conf
nrr_int_agg_fw001_asa,,dmz,DMZ VRF,active,,10.99.27.188/24,dmz,,yes,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430-ASA-VDOM.conf
nrr_int_agg_fw001_pa,,default,Default VRF,active,,10.99.28.188/24,default,,yes,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_int_agg_fw001_pa,,mgmt,Management VRF,active,,10.99.28.1/24,mgmt,,yes,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_int_agg_fw001_pa,,internal,Internal VRF,active,,172.17.15.188/24,internal,,yes,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_int_agg_fw001_pa,,dmz,DMZ VRF,active,,10.99.29.188/24,dmz,,yes,configs/NRR-INT-AGG-FW001_7-0_9221_202505151430PA-VDOM.conf
nrr_oob_agg_fw001,,default,Default VRF,active,,10.99.30.188/24,default,,yes,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_oob_agg_fw001,,mgmt,Management VRF,active,,10.99.30.1/24,mgmt,,yes,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_oob_agg_fw001,,oob,OOB VRF,active,,10.99.31.188/24,oob,,yes,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_oob_agg_fw001,,internal,Internal VRF,active,,192.168.100.188/24,internal,,yes,configs/NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
nrr_wan_agg_fw001,,default,Default VRF,active,,10.99.32.188/24,default,,yes,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
nrr_wan_agg_fw001,,mgmt,Management VRF,active,,10.99.32.1/24,mgmt,,yes,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
nrr_wan_agg_fw001,,wan,WAN VRF,active,,10.99.2.188/24,wan,,yes,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
nrr_wan_agg_fw001,,internal,Internal VRF,active,,10.99.33.188/24,internal,,yes,configs/NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
uat_pa_backup,,default,Default VRF,active,,10.99.20.188/24,default,,yes,configs/UAT-PA-Backup
uat_pa_backup,,mgmt,Management VRF,active,,10.99.20.1/24,mgmt,,yes,configs/UAT-PA-Backup
uat_pa_backup,,internal,Internal VRF,active,,10.99.34.188/24,internal,,yes,configs/UAT-PA-Backup
uat_pa_backup,,ha,HA VRF,active,,192.0.2.188/24,ha,,yes,configs/UAT-PA-Backup
uat_pa_internet_backup,,default,Default VRF,active,,10.99.38.188/24,default,,yes,configs/UAT-PA-Internet-Backup
uat_pa_internet_backup,,mgmt,Management VRF,active,,10.99.38.1/24,mgmt,,yes,configs/UAT-PA-Internet-Backup
uat_pa_internet_backup,,internal,Internal VRF,active,,10.99.40.188/24,internal,,yes,configs/UAT-PA-Internet-Backup
uat_pa_internet_backup,,ha,HA VRF,active,,192.0.2.188/24,ha,,yes,configs/UAT-PA-Internet-Backup 
