device_id,interface_name,description,ip_address,subnet_mask,vlan,speed_mbps,duplex,admin_status,operational_status,mac_address,if_type,ip6_address,lldp_remote_sysname,port_security,bpdu_guard,root_guard,storm_control_pps,mtu,source_file
nrr_cor_c_sw002,Etherneternet1/18,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/19,***Connection to NRR-DC-BLF-963 Eth1/2***,,,,,,down,down,,ethernet,,,,,,,9000,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/19.410,***Connection to NRR-DC-BLF-963 Eth1/2 CORE:A Main A10***,10.99.0.62,/30,3410,,,down,down,,ethernet,,,,,,,9000,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/20,***Connection to NRR-DC-BLF-963 Eth1/5***,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/20.406,***Connection to NRR-DC-BLF-963 Eth1/5 DC:MCAST Backup A12***,10.99.0.46,/30,3406,,,down,down,,ethernet,,,,,,,9000,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/20.414,***Connection to NRR-DC-BLF-963 Eth1/5 MGMT:inb ***,10.99.0.78,/30,3414,,,down,down,,ethernet,,,,,,,9000,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/21,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/22,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/23,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/24,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/25,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/26,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/27,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/28,***Connection to NRR-COR-C-SW001 Eth1/28***,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/29,***Connection to NRR-COR-C-SW001 Eth1/29***,,,,,,down,down,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/30,***Connection to NRR-COR-C-SW001 Eth1/30***,,,,,,down,down,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/31,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/32,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/33,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/34,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/35,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet1/36,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/1,***Connection to NRR-INT-AGG-SW002 Eth1/41***,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/2,***Connection to NRR-EXT-AGG-SW002 Eth1/41***,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/3,***Connection to NRR-OOB-AGG-FW002 port40***,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/4,***Connection to NRR-REP-OTV-R002 TenG0/1/1***,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/5,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/6,***Connection to tetration Leaf-2 port 1/36***,10.99.2.69,/30,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/7,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/8,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/9,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/10,***Connection to NRR-WAN-AGG-FW002 port 26***,,,,40000,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/11,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/12,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/13,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/14,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/15,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/16,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/17,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/18,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/19,***Connection to NRR-DC-BLF-1064 Eth1/2***,,,,,,down,down,,ethernet,,,,,,,9000,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/19.412,***Connection to NRR-DC-BLF-1064 Eth1/2 CORE:A Main A10***,10.99.0.70,/30,3412,,,down,down,,ethernet,,,,,,,9000,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/20,***Connection to NRR-DC-BLF-1064 Eth1/5***,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/20.403,,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/20.408,***Connection to NRR-DC-BLF-1064 Eth1/5 DC:MCAST Backup A12***,10.99.0.54,/30,3408,,,down,down,,ethernet,,,,,,,9000,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/20.416,***Connection to NRR-DC-BLF-1064 Eth1/5 MGMT:inb ***,10.99.0.86,/30,3416,,,down,down,,ethernet,,,,,,,9000,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/21,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/22,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/23,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/24,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/25,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/26,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/27,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/28,***Connection to NRR-COR-C-SW001 Eth2/28***,,,,,,down,down,,ethernet,,,,,,,9216,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/29,***Connection to NRR-COR-C-SW001 Eth2/29***,,,,,,down,down,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/30,***Connection to NRR-COR-C-SW001 Eth2/30***,,,,,,down,down,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/31,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/32,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/33,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/34,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/35,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,Etherneternet2/36,,,,,,,up,up,,ethernet,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,mgmt0,***Connection to OOB-FEX119 Eth119/0/4 and OOB-FEX117 Eth118/0/4***,10.99.18.254,/24,,,,up,up,,management,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,loopback0,***OSPF CORE Process***,10.99.1.4,/32,,,,up,up,,loopback,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,loopback1,***OSPF WAN Process***,10.99.1.5,/32,,,,up,up,,loopback,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,loopback2,***OSPF INT Process***,10.99.1.6,/32,,,,up,up,,loopback,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,loopback10,***Auto-RP Loopback***,10.99.1.100,/32,,,,up,up,,loopback,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
nrr_cor_c_sw002,loopback11,,192.168.1.11,/32,,,,up,up,,loopback,,,,,,,1500,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
NRR-EXT-EXT-FW001_d41d8cd9,port1,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port2,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port3,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port4,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port5,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port6,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port7,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port8,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port9,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port10,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port11,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port12,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port13,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port14,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port15,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,port16,,,,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,mgmt1,oob-mgmt,10.99.20.162,/24,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,mgmt2,,192.168.2.99,/24,,,,up,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,modem,,,,,,,down,,,physical,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXT-FW001_d41d8cd9,naf.root,,,,,,,up,,,tunnel,,,,,,,,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
